year,total_ghg,co2,temperature_change_from_co2,temperature_change_from_ghg,coal_pc1,oil_pc1,gas_pc1,cement_pc1,land_use_pc1,ghg_pc1,nonco2_ghg_pc1
1934,12206.737,3656.187,0.216,0.297,0.4266463831012255,0.10558099370432254,0.025815564979301292,0.04614969869302302,0.3148352208333243,0.3442603299770446,0.13890106409169195
1935,12362.917,3835.742,0.22,0.303,0.4311438583292768,0.1078342497333568,0.02646656982806285,0.04726598578030221,0.3038388065371027,0.346304866173558,0.14217841447545052
1936,12856.831,4207.931,0.224,0.308,0.46374172572459327,0.13774905388261954,0.035232939313130415,0.040623918312915494,0.3228585665257681,0.38451122495073853,0.1470907795693494
1937,13279.805,4496.715,0.229,0.315,0.4705427597720543,0.14209300405184933,0.036272350111137136,0.041275295766779324,0.33257842420373984,0.3876387732250405,0.15118885640304738
1938,13073.998,4229.619,0.233,0.321,0.4615619628769796,0.14098304247703963,0.03592132011680865,0.04055619773623237,0.33972521796273625,0.38499385532978214,0.15231663958453664
1939,13315.614,4470.135,0.238,0.327,0.469390064768105,0.1424603183971778,0.03632444155292493,0.03965472661778058,0.3309809343048056,0.38760979539806695,0.15630512728563598
1940,13902.012,4884.664,0.242,0.334,0.4831125716559269,0.1446282142832629,0.037166471383839245,0.038322993602821084,0.3455034523159522,0.39194486321577643,0.16088520545988788
1941,14365.789,4999.093,0.247,0.341,0.4865641330587831,0.14515687841272412,0.03716274069702688,0.04205927955917152,0.38568570565251326,0.39330817042552496,0.16683948780795443
1942,14454.576,4982.524,0.252,0.348,0.4875046009468307,0.1428776087519227,0.03803226707148434,0.04051052571939956,0.3901269572196939,0.393287977475436,0.1754949725927119
1943,14616.533,5075.273,0.257,0.355,0.488119536931231,0.1458189672986684,0.03919644861732757,0.03937439492825505,0.3831772302739263,0.39456024656254013,0.18838294235475192
1944,14792.171,5162.486,0.262,0.362,0.48592237779297365,0.15244876046575903,0.04021209355860356,0.03556156897128136,0.37995885507142835,0.3956152621529856,0.2021812278980646
1945,13952.065,4289.312,0.266,0.369,0.4527600883571663,0.15137837877154126,0.041531444041124965,0.03566299234659283,0.37908317799385444,0.386876432743432,0.2127482966730448
